SMILES,-log10(LOAEL),Dataset
OC(=O)COc1ccc(cc1Cl)Cl,0.46940334082401963,swiss
CN(C1C(=O)C(=C(O)N)C(=O)C2(C1CC1C(=C(O)c3c(C1(C)O)cccc3O)C2=O)O)C,0.47171335503894035,mazzatorta
OC(=O)CSc1cc(/N=c/2\sc(=O)n3n2CCCC3)c(cc1Cl)F,0.4769562541646596,swiss
ClC(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl,0.4779733071886505,mazzatorta and swiss
CCCCCCC(c1cc(cc(c1OC(=O)/C=C\C)[N+](=O)[O-])[N+](=O)[O-])C,0.4795033665674557,swiss
ClC(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl,0.48674243602099465,swiss
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(c(c1F)Cl)F,0.49291359170948634,swiss
OC(=O)CCl,0.4982973080098996,mazzatorta
C#CCC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)C=C(C)C,0.49996946581612567,mazzatorta
ClCC(=O)N(c1c(C)cccc1C)Cn1cccn1,0.5041366495179556,swiss
COc1nc(nc(n1)C)NC(=O)NS(=O)(=O)c1ccccc1C(=O)OC,0.5057897307706736,swiss
CNC(=O)Oc1cc(C)cc(c1C)C,0.5137821153320272,mazzatorta
NC1CC(N=C(C(=O)O)N)C(OC1OC1C(O)C(O)C(C(C1O)O)O)C,0.5145909236774223,swiss
CCCCCCCCSC(=O)Oc1cc(Cl)nnc1c1ccccc1,0.5178413045887236,swiss
Fc1ccc(c(c1)F)NC(=O)c1cccnc1Oc1cccc(c1)C(F)(F)F,0.5180846348916255,swiss
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(n1)OC,0.5209576284133699,mazzatorta
CN(C(=S)[S-])C.CN(C(=S)[S-])C.CN(C(=S)[S-])C.[Fe+3],0.5227050622218726,swiss
CNC(=O)Oc1cccc2c1cccc2,0.5240819585605319,swiss
COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(OC(F)F)cc(n1)OC(F)F,0.5244304978725236,mazzatorta
CNC(=O)Oc1cccc2c1cccc2,0.5255214895917043,mazzatorta
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,0.5294866078313349,mazzatorta and swiss
Cc1ccc(cc1)N(S(=O)(=O)N(C)C)SC(Cl)(Cl)F,0.5406527536056628,swiss
C#CCOS(=O)OC1CCCCC1Oc1ccc(cc1)C(C)(C)C,0.5446525636058117,mazzatorta
CCCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl,0.5520361697732551,mazzatorta and swiss
OC(=O)COc1ccc(cc1Cl)Cl,0.5520671344078197,swiss
COc1cc(OC)nc(n1)NC(=O)NS(=O)(=O)c1ncccc1S(=O)(=O)CC,0.5521445556544645,swiss
CC(CC(c1sccc1NC(=O)c1cn(nc1C(F)(F)F)C)C)C,0.5555960442504486,swiss
CCSC(CC1CC(=O)C(=C(NOCC=CCl)CC)C(=O)C1)C,0.5561895988786021,mazzatorta
ClC=C(c1cc(Cl)c(cc1Cl)Cl)OP(=O)(OC)OC,0.5634398293782596,mazzatorta
OCC(CCl)O,0.5663901566762818,swiss
Nc1cnn(c(=O)c1Cl)c1ccccc1,0.5674957011389724,swiss
CC(Oc1cccc(c1)NC(=O)c1ccccc1C(F)(F)F)C,0.5701024413128524,mazzatorta and swiss
Fc1ccc(cc1)Oc1ccnc2c1c(Cl)cc(c2)Cl,0.585645126657133,swiss
Cc1ccc(cc1)N(S(=O)(=O)N(C)C)SC(Cl)(Cl)F,0.5864152712755908,swiss
CCOCN(c1c(C)cccc1CC)C(=O)CCl,0.5921334169692242,swiss
C=CC1(C)OC(=O)N(C1=O)c1cc(Cl)cc(c1)Cl,0.5938005763366871,mazzatorta
[S]C(=S)NCCNC(=S)S[Mn],0.597669823868334,swiss
CC1OC(C)OC(OC(O1)C)C,0.6025814576486522,swiss
CCc1cc(C)cc(c1c1c(OC(=O)C(C)(C)C)n2n(c1=O)CCOCC2)CC,0.6026162443427237,swiss
OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,0.6046910839214119,mazzatorta
