SMILES,LOAEL_measured_median,LOAEL_predicted,Confidence
CCC1CCCC(OC2CCC(C(O2)C)N(C)C)C(C)C(=O)C2=CC3C(C2CC(=O)O1)C=C(C)C1C3CC(C1)OC1OC(C)C(C(C1OC)OC)OC,0.012735,0.004532815045759211,0.44642857142857145
CC1C=CC=C2COC3C2(O)C(C=C(C3O)C)C(=O)OC2CC(CC=C(C1)C)OC1(C2)CCC(C(O1)C)C,0.012862,0.002556542836404612,0.4642857142857143
COc1ccc(cc1NNC(=O)OC(C)C)c1ccccc1,0.012985,0.354264585875147,0.25
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)OC(F)F)C(C)C,0.01329,0.047587776145376404,0.7083333333333334
CCP(=S)(Sc1ccccc1)OCC,0.0133561,0.004120009240704264,0.14285714285714285
O=c1c(Cl)c(SCc2ccc(cc2)C(C)(C)C)cnn1C(C)(C)C,0.013701,0.05302771769054266,0.22727272727272727
CNP(=O)(Oc1ccc(cc1Cl)C(C)(C)C)OC,0.013712,0.061191696080578985,0.4444444444444444
NC1=C(Cl)C(=O)c2c(C1=O)cccc2,0.01392,2.209826964163463,0.17391304347826086
CCN(C(=O)SCC)C1CCCCC1,0.01393,0.05635527402003195,0.42857142857142855
CNC(=O)Oc1cccc2c1OC(C2)(C)C,0.01394355,0.11617647948113888,0.5
O=C(C1C(C1(C)C)/C=C(/C(F)(F)F)\Cl)OCc1c(F)c(F)c(c(c1F)F)C,0.01409,0.04151432282975013,1
CC(c1ccccc1)(C[Sn](O[Sn](CC(c1ccccc1)(C)C)(CC(c1ccccc1)(C)C)CC(c1ccccc1)(C)C)(CC(c1ccccc1)(C)C)CC(c1ccccc1)(C)C)C,0.01425,0.0895734445319006,0.2
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC1CC1,0.014397,0.06615743296987836,0.6842105263157895
CC(c1ccc(cc1)CCOc1ncnc2c1cccc2)(C)C,0.014687,0.07032120267651988,0.19230769230769232
CCCCC(c1ccc(cc1Cl)Cl)(Cn1cncn1)O,0.014958,0.06131549254879191,0.52
N#CC(c1ccc(cc1)Oc1ccccc1)OC(=O)C1C(C1(C)C)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,0.01496,0.04986963717324331,0.5714285714285714
