InChI,pTD50
"InChI=1S/C15H11NO2/c1-8-6-7-11-12(13(8)16)15(18)10-5-3-2-4-9(10)14(11)17/h2-7H,16H2,1H3",3.60289073815158
"InChI=1S/C15H11NO2/c1-9(17)16-10-6-7-12-11-4-2-3-5-13(11)15(18)14(12)8-10/h2-8H,1H3,(H,16,17)",4.58492728084125
"InChI=1S/C15H13NO/c1-10(17)16-13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9H,8H2,1H3,(H,16,17)",5.26247034718831
"InChI=1S/C15H13NO2/c1-10(17)16(18)13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9,18H,8H2,1H3",5.38413003444408
"InChI=1S/C15H15N3O2/c1-10-3-8-15(20)14(9-10)18-17-13-6-4-12(5-7-13)16-11(2)19/h3-9,17H,1-2H3,(H,16,19)",2.85045049903809
"InChI=1S/C15H17N3/c1-12-5-4-6-14(11-12)17-16-13-7-9-15(10-8-13)18(2)3/h4-11H,1-3H3",4.86309734716964
"InChI=1S/C15H17N5O/c1-2-21-9-8-12-13(11-6-4-3-5-7-11)19-15(16)20-14(12)17-10-18-20/h3-7,10H,2,8-9H2,1H3,(H2,16,19)",2.71350985717714
"InChI=1S/C15H18N2/c1-10-7-12(3-5-14(10)16)9-13-4-6-15(17)11(2)8-13/h3-8H,9,16-17H2,1-2H3",4.48666062387141
"InChI=1S/C15H18N4O/c1-3-18(4-2)15-7-5-13(6-8-15)16-17-14-9-11-19(20)12-10-14/h5-12H,3-4H2,1-2H3",5.2197063186984
"InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)",3.00582184468248
"InChI=1S/C15H23ClO4S/c1-12(20-21(17)19-10-9-16)11-18-14-7-5-13(6-8-14)15(2,3)4/h5-8,12H,9-11H2,1-4H3",3.53943602065054
"InChI=1S/C15H32N2O/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-17(2)16-18/h3-15H2,1-2H3",5.19148065408148
"InChI=1S/C15H9NO4/c1-8-6-7-11-12(13(8)16(19)20)15(18)10-5-3-2-4-9(10)14(11)17/h2-7H,1H3",3.49849959787514
"InChI=1S/C16H12ClNO2/c1-2-16(20-15(18)19,12-6-4-3-5-7-12)13-8-10-14(17)11-9-13/h1,3-11H,(H2,18,19)",4.51245326948899
"InChI=1S/C16H12N2O/c19-15-11-10-12-6-4-5-9-14(12)16(15)18-17-13-7-2-1-3-8-13/h1-11,17H",3.92659335677243
"InChI=1S/C16H12N2O4/c1-21-15-7-11(3-5-13(15)17-9-19)12-4-6-14(18-10-20)16(8-12)22-2/h3-8H,1-2H3",2.25951121358256
"InChI=1S/C16H14O6/c17-10-2-1-8-13-9-4-12(19)11(18)3-7(9)5-16(13,21)6-22-15(8)14(10)20/h1-4,13,17-21H,5-6H2",2.48040768946736
"InChI=1S/C16H15NO2/c17-15-11-5-4-10-14(15)16(18)19-12-6-9-13-7-2-1-3-8-13/h1-11H,12,17H2",1.32084261832153
"InChI=1S/C16H16N2O4S/c1-11(19)17-13-3-7-15(8-4-13)23(21,22)16-9-5-14(6-10-16)18-12(2)20/h3-10H,1-2H3,(H,17,19)(H,18,20)",3.7765539507494
"InChI=1S/C16H16N4O4S/c21-9-7-19(8-10-22)16-11-3-1-2-4-12(11)17-15(18-16)13-5-6-14(25-13)20(23)24/h1-6,21-22H,7-10H2",5.0598416376362
"InChI=1S/C16H17NO2/c1-18-15-9-10-16(19-2)13(11-15)6-3-12-4-7-14(17)8-5-12/h3-11H,17H2,1-2H3",5.54913545266613
"InChI=1S/C16H19ClN4O2S/c1-10-4-3-5-12(11(10)2)19-14-8-13(17)20-16(21-14)24-9-15(23)18-6-7-22/h3-5,8,22H,6-7,9H2,1-2H3,(H,18,23)(H,19,20,21)",4.7522633596561
"InChI=1S/C16H23NO6/c1-9-13(18)23-11-5-7-17-6-4-10(12(11)17)8-22-14(19)16(3,21)15(9,2)20/h4,9,11-12,20-21H,5-8H2,1-3H3",5.53923230134191
"InChI=1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3",7.98938529166451
"InChI=1S/C17H13N3O3/c1-11-6-8-14(15(10-11)20(22)23)18-19-17-13-5-3-2-4-12(13)7-9-16(17)21/h2-10,18H,1H3",2.41938178621271
"InChI=1S/C17H14O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8-9,17-18H,2-3H2,1H3",8.10463291879122
