"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"O=C(C(C(Cl)=C(Cl)C(C(OC)=O)=C1Cl)=C1Cl)OC",10.000000000000000
"C[Si](C2=CC=C(C=C2)F)(C3=CC=C(F)C=C3)CN1C=NC=N1",10.000000000000000
"CS(C1=CC(C(F)(F)F)=CC=C1C(C2=C(O)N(C)N=C2C)=O)(=O)=O",10.000000000000000
"CS/C(C)=N/OC(N(SN(C(O/N=C(SC)\C)=O)C)C)=O",10.000000000000000
"O=C(C2C(/C=C(Cl)/Cl)C(C)2C)OCC1=C(F)C(F)=CC(F)=C1F",10.000000000000000
"CC(C(OCC#C)=O)OC1=CC=C(OC2=C(F)C=C(Cl)C=N2)C=C1",10.199999809265100
"OC(C2=CC=C(F)C=C2)(C3=C(F)C=CC=C3)CN1C=NC=N1",10.199999809265100
"FC(F)(F)C1=CC([N+]([O-])=O)=C(N(CC(C)=C)CC)C([N+]([O-])=O)=C1",10.699999809265100
"CCOC(CCN(C(C)C)SN(C)C(OC1=CC=CC2=C1OC(C)(C)C2)=O)=O",11.000000000000000
"O=S3OCC1C(CO3)C2(Cl)C(Cl)=C(Cl)C(Cl)1C(Cl)2Cl",11.000000000000000
"BrC([H])([H])[H]",11.000000000000000
"CC(C)(C(C(N2C=NC=N2)CC1=CC=C(C=C1)Cl)O)C",11.000000000000000
"O=C(C(C(C)=N2)=CN1C2=CC(OP(OCC)(OCC)=S)=N1)OCC",11.000000000000000
"CNC(OC1=CC=CC(/N=C/N(C)C)=C1)=O",11.500000000000000
"CC(CC2=CC=C(C(C)(C)C)C=C2)CN1CCCCC1",11.829999923706100
"O=C(OCC)C(Cl)CC1=CC(N2N=C(C)N(C(F)F)C2=O)=C(F)C=C1Cl",12.000000000000000
"CC(C(C1C(OC(C2=CC=CC(OC3=CC=CC=C3)=C2)C#N)=O)/C=C(C(F)(F)F)\Cl)1C",12.000000000000000
"CC2(C)C=C(C)C1=CC(OCC)=CC=C1N2",12.000000000000000
"CC(NC(N1CC(N(C2=CC(Cl)=CC(Cl)=C2)C1=O)=O)=O)C",12.000000000000000
"IC1=CC=C(N=C(OCCC)N(CCC)C2=O)C2=C1",12.000000000000000
"CS/C(C)=N/OC(N(SN(C(O/N=C(SC)\C)=O)C)C)=O",12.000000000000000
"S=C(SSC(N(C)C)=S)N(C)C",12.000000000000000
"O=C(OCC)CSC1=NC(C(C)(C)C)=NN1C(N(C)C)=O",12.000000000000000
"ClC1=CC=C(C2=CC(F)=CC=C2NC(C3=CN(C)N=C3C(F)F)=O)C=C1Cl",12.100000381469700
"FC(F)(F)C1=CC(OC2=CC=CC(C(NC3=CC=C(F)C=C3)=O)=N2)=CC=C1",12.100000381469700
"C(CNC(=S)[S-])NC(=S)[S-].[Zn+2]",12.300000190734900
"CN(C)C1=NC(C)=C(C)C(OC(N(C)C)=O)=N1",12.300000190734900
"ClC1=C(C3(OCCO3)CN2C=NC=N2)C=CC(Cl)=C1",12.800000190734900
"ClC(N=CC=C3)=C3C(NC1=CC=CC=C1C2=CC=C(Cl)C=C2)=O",13.000000000000000
"O=C1C(C(C)(C)C)=NN=C(SC)N1N",13.000000000000000
"O=C(SC/C(Cl)=C(Cl)\Cl)N(C(C)C)C(C)C",13.000000000000000
"CN(C)C(S[Zn]SC(N(C)C)=S)=S",13.000000000000000
"OC1(CN3C=NC=N3)C(C)(C)CCC1CC2=CC=C(Cl)C=C2",13.100000381469700
"O=S(C1=C(C(F)(F)F)C=CC=N1)(NC(NC2=NC(OC)=CC(OC)=N2)=O)=O",13.300000190734900
"OC(C(Cl)(Cl)Cl)P(OC)(OC)=O",13.300000190734900
"COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+]",13.800000190734900
"OC1(CN3C=NC=N3)C(C)(C)CCC1CC2=CC=C(Cl)C=C2",13.800000190734900
"O=C(N(C1=C(CC)C=CC=C1CC)COC)CCl",14.000000000000000
"NS(C1=CC([N+]([O-])=O)=C(N(CCC)CCC)C([N+]([O-])=O)=C1)(=O)=O",14.000000000000000
"CCCOC/C(N2C=CN=C2)=N\C1=CC=C(C=C1C(F)(F)F)Cl",14.000000000000000
"O=C1C(C(C)(C)C)=NN=C(SC)N1N",14.399999618530300
"O=C1OC3(CCCCC3)C(OC(C(C)(C)CC)=O)=C1C2=C(Cl)C=C(Cl)C=C2",14.720000267028800
"CC1=CC(C)=CC(C)=C1C2=C(OC(CC(C)(C)C)=O)C3(CCCC3)OC2=O",14.800000190734900
"CC1(C)C(C(OCC2=COC(CC3=CC=CC=C3)=C2)=O)C1/C=C(C)\C",15.000000000000000
"ClC(C=C2)=CC=C2C1=C(C#N)C(Br)=C(C(F)(F)F)N1COCC",15.000000000000000
"CC(C1=CC=CC=C1)(C)C[Sn](CC(C)(C2=CC=CC=C2)C)(CC(C)(C3=CC=CC=C3)C)O[Sn](CC(C)(C4=CC=CC=C4)C)(CC(C)(C6=CC=CC=C6)C)CC(C)(C5=CC=CC=C5)C",15.000000000000000
"ClC(C=C(Cl)C=C2)=C2C(OCC=C)CN1C=NC=C1",15.000000000000000
"CC(C)(C2=CC=C(C=C2)OC1CCCCC1OS(OCC#C)=O)C",15.000000000000000
"C#CCOC(C(NCCC2=CC=C(OCC#C)C(OC)=C2)=O)C1=CC=C(Cl)C=C1",15.199999809265100
"CCOC(C(OC3=CC=C(C=C3)OC2=NC1=CC=C(Cl)C=C1N=C2)C)=O",15.500000000000000
"CC(C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O)C1CC1",15.539999961853000
"FC(F)(C1=CC=CC(N2CC(C(C2=O)Cl)CCl)=C1)F",15.699999809265100
"ClC(C=C(Cl)C=C2)=C2C(OCC=C)CN1C=NC=C1",15.899999618530300
"CC1=CC(C)=CC(C)=C1C2=C(OC(CC(C)(C)C)=O)C3(CCCC3)OC2=O",15.899999618530300
"CCC1=C(C(NC(C2=CC=CS2)C#N)=O)SC(NCC)=N1",16.399999618530300
"O=C(C2C(/C=C(C)/C)C(C)2C)OC1CC(C(CC#C)=C1C)=O",16.500000000000000
"O=C(C(O3)(C)C(C=C2)=CC=C2OC1=CC=CC=C1)N(NC4=CC=CC=C4)C3=O",17.000000000000000
