InChI,XLogP,ALogp2,nAtomP,ALogP,nB,AMR,nAtom,MLogP,nRotB
"InChI=1S/C12H12N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10,13-14H",5.67000007629395,0.706944644451141,14.0,-0.840799987316132,15.0,6.59999990463257,26.0,2.55999994277954,3.0
"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",3.12199997901917,2.24940013885498,14.0,-1.49979996681213,15.0,8.44419956207275,26.0,2.55999994277954,1.0
"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",2.62400007247925,2.73538517951965,15.0,-1.65390002727509,16.0,10.0633001327515,27.0,2.45000004768372,2.0
"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2",1.23300004005432,3.70562505722046,17.0,-1.92499995231628,18.0,17.0858001708984,29.0,2.23000001907349,2.0
"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",3.76099991798401,1.26247692108154,8.0,-1.12360000610352,18.0,34.4664001464844,29.0,2.23000001907349,2.0
"InChI=1S/C12H12N2O3/c1-3-14-6-9(12(16)17)10(15)8-5-4-7(2)13-11(8)14/h4-6H,3H2,1-2H3,(H,16,17)",1.13199996948242,0.0284596905112267,9.0,0.168699994683266,18.0,39.5200996398926,31.0,2.23000001907349,2.0
"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",2.95499992370605,0.826644659042358,7.0,-0.909200012683868,16.0,16.237699508667,27.0,2.45000004768372,2.0
"InChI=1S/C12H13N3O2/c16-9-7-8(13-1-2-13)12(17)11(15-5-6-15)10(9)14-3-4-14/h7H,1-6H2",0.744000017642975,0.864714026451111,11.0,-0.929899990558624,20.0,66.2043991088867,30.0,2.23000001907349,3.0
"InChI=1S/C12H14N2O/c1-9-8-12(2,3)14(13-15)11-7-5-4-6-10(9)11/h4-8H,1-3H3",3.44000005722046,1.9446302652359,11.0,1.39450001716614,16.0,37.0256996154785,29.0,2.45000004768372,1.0
"InChI=1S/C12H14N4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H,13-16H2",0.639999985694885,8.99760055541992,16.0,-2.99959993362427,17.0,16.8883991241455,30.0,2.33999991416931,1.0
"InChI=1S/C12H14O4/c1-2-9(13-5-11-7-15-11)4-10(3-1)14-6-12-8-16-12/h1-4,11-12H,5-8H2",1.182000041008,0.449972629547119,8.0,-0.670799970626831,18.0,32.1209983825684,30.0,2.33999991416931,6.0
"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",3.21000003814697,2.09062671661377,7.0,1.44589996337891,16.0,37.2849006652832,31.0,2.33999991416931,5.0
"InChI=1S/C12H19N3O/c1-9(2)15-12(16)11-6-4-10(5-7-11)8-14-13-3/h4-7,9,13-14H,8H2,1-3H3,(H,15,16)",2.76900005340576,1.71479022502899,9.0,-1.30949997901917,16.0,39.6456985473633,35.0,2.33999991416931,6.0
"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3",0.800999999046326,0.650442242622375,8.0,-0.806500017642975,16.0,38.6044006347656,35.0,2.33999991416931,4.0
"InChI=1S/C12H26N2O/c1-3-4-5-6-7-8-9-10-11-12-14(2)13-15/h3-12H2,1-2H3",5.05800008773804,6.45464849472046,3.0,-2.54060006141663,14.0,51.1691017150879,41.0,2.45000004768372,11.0
"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",3.35999989509583,2.68304395675659,5.0,-1.63800001144409,16.0,60.3110008239746,44.0,2.23000001907349,12.0
"InChI=1S/C12H8O4/c1-14-12-10-8(4-5-15-10)6-7-2-3-9(13)16-11(7)12/h2-6H,1H3",1.43499994277954,0.0399200394749641,11.0,-0.199799999594688,18.0,24.6411991119385,26.0,2.33999991416931,1.0
"InChI=1S/C12H9N3O3S/c16-12-7-3-1-2-4-8(7)13-11(14-12)9-5-6-10(19-9)15(17)18/h1-6,11,13H,(H,14,16)",3.32699990272522,0.14508481323719,10.0,-0.380899995565414,21.0,25.6646995544434,28.0,2.00999999046326,2.0
"InChI=1S/C12H9NO/c13-8-5-6-10-9-3-1-2-4-11(9)14-12(10)7-8/h1-7H,13H2",3.03299999237061,0.817215979099274,14.0,-0.903999984264374,16.0,5.84119987487793,23.0,2.55999994277954,0.0
"InChI=1S/C12H9NO2/c14-13(15)11-7-6-9-5-4-8-2-1-3-10(11)12(8)9/h1-3,6-7H,4-5H2",4.86499977111816,0.00611524004489183,13.0,0.0781999975442886,17.0,12.6166000366211,24.0,2.45000004768372,1.0
"InChI=1S/C13H11NO2/c1-15-13-6-9-8-4-2-3-5-11(8)16-12(9)7-10(13)14/h2-7H,14H2,1H3",2.58899998664856,0.913553655147552,15.0,-0.955799996852875,18.0,13.1569995880127,27.0,2.55999994277954,1.0
"InChI=1S/C13H11NO5/c1-2-14-5-8(13(16)17)12(15)7-3-10-11(4-9(7)14)19-6-18-10/h3-5H,2,6H2,1H3,(H,16,17)",0.569999992847443,0.328902244567871,11.0,-0.573499977588654,21.0,41.2597007751465,32.0,2.23000001907349,2.0
"InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2",3.46099996566772,0.1980250030756,7.0,0.444999992847443,18.0,24.2763996124268,29.0,2.45000004768372,2.0
"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",0.767000019550323,0.0695904418826103,6.0,0.263799995183945,24.0,21.8330001831055,34.0,1.89999997615814,5.0
"InChI=1S/C13H12N4/c1-17-11-7-10(9-5-3-2-4-6-9)8-15-12(11)16-13(17)14/h2-8H,1H3,(H2,14,15,16)",4.9539999961853,0.134835839271545,16.0,-0.36719998717308,19.0,16.8964004516602,29.0,2.45000004768372,1.0
"InChI=1S/C13H13N3/c1-7-12-11(8(2)15-13(7)14)9-5-3-4-6-10(9)16-12/h3-6,16H,1-2H3,(H2,14,15)",2.8659999370575,0.0327248089015484,7.0,-0.180899992585182,18.0,27.3493003845215,30.0,2.55999994277954,0.0
"InChI=1S/C13H14Cl2O3/c1-12(2,11(16)17)18-9-5-3-8(4-6-9)10-7-13(10,14)15/h3-6,10H,7H2,1-2H3,(H,16,17)",3.59400010108948,1.53041636943817,7.0,1.23710000514984,19.0,44.3660011291504,32.0,2.33999991416931,4.0
"InChI=1S/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2",3.69099998474121,1.08910095691681,7.0,-1.04359996318817,16.0,13.0452003479004,29.0,2.67000007629395,2.0
"InChI=1S/C13H14O5/c1-5-7(3)18-4-8-9(5)6(2)11(14)10(12(8)15)13(16)17/h4-5,7,16-17H,1-3H3",2.54999995231628,0.000823689973913133,13.0,-0.0286999996751547,19.0,63.5586013793945,32.0,2.33999991416931,0.0
"InChI=1S/C13H16N4O6/c18-13-16(14-7-10-1-2-12(22-10)17(19)20)9-11(23-13)8-15-3-5-21-6-4-15/h1-2,7,11H,3-6,8-9H2",1.02499997615814,0.19412836432457,14.0,-0.440600007772446,25.0,57.0368995666504,39.0,1.78999996185303,5.0
"InChI=1S/C13H17N3O2/c1-10-8-15(14-18)9-11(2)16(10)13(17)12-6-4-3-5-7-12/h3-7,10-11H,8-9H2,1-2H3",3.05200004577637,0.523596942424774,9.0,-0.723599970340729,19.0,44.1161994934082,35.0,2.33999991416931,3.0
"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)",0.514999985694885,0.215110436081886,7.0,0.463800013065338,19.0,52.6076011657715,37.0,2.23000001907349,8.0
"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",1.17299997806549,0.631866037845612,7.0,-0.794900000095367,17.0,43.3166007995605,38.0,2.45000004768372,5.0
"InChI=1S/C13H28N2O/c1-3-4-5-6-7-8-9-10-11-12-13-15(2)14-16/h3-13H2,1-2H3",5.6269998550415,8.00097751617432,3.0,-2.82859992980957,15.0,54.0806999206543,44.0,2.55999994277954,12.0
