"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"CC=C(C)C(=O)OC1CC(C2(COC3C2C14COC(C4C(C3O)(C)C56C7CC(C5(O6)C)C8(C=COC8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C",13.000000000000000
"CC1(C)C(C(OCC2=COC(CC3=CC=CC=C3)=C2)=O)C1/C=C(C)\C",13.000000000000000
"O=C(NN(C(C)(C)C)C(C2=CC(C)=CC(C)=C2)=O)C1=CC=C(C=C1)CC",13.000000000000000
"CC1=CC(C)=CC(C)=C1C2=C(OC(CC(C)(C)C)=O)C3(CCCC3)OC2=O",13.199999809265100
"OC(C2=CC=C(F)C=C2)(C3=C(F)C=CC=C3)CN1C=NC=N1",13.500000000000000
"O=C(CCC1)C(C(C2=CC=C(S(=O)(C)=O)C(COCC(F)(F)F)=C2Cl)=O)C1=O",13.500000000000000
"BrC(C3)COC(CN2C=NC=N2)3C1=C(Cl)C=C(Cl)C=C1",13.800000190734900
"C(CNC(=S)[S-])NC(=S)[S-].[Zn+2]",14.199999809265100
"FC1=C(NC(NC(C3=C(F)C=CC=C3F)=O)=O)C=CC(OC2=C(Cl)C=C(C(F)(F)F)C=C2)=C1",14.300000190734900
"O=C(NN(C(C)(C)C)C(C2=CC(C)=CC(C)=C2)=O)C1=CC=C(C=C1)CC",14.399999618530300
"O=C1C(C(C)(C)C)=NN=C(SC)N1N",14.800000190734900
"CCCCN(SN(C(OC2=C1OC(C)(C)CC1=CC=C2)=O)C)CCCC",15.000000000000000
"NC#N",15.000000000000000
"CC(C1=CC=CC=C1)(C)C[Sn](CC(C)(C2=CC=CC=C2)C)(CC(C)(C3=CC=CC=C3)C)O[Sn](CC(C)(C4=CC=CC=C4)C)(CC(C)(C6=CC=CC=C6)C)CC(C)(C5=CC=CC=C5)C",15.000000000000000
"O=C(NC2=CC=C(C(C(F)(F)F)(F)C(F)(F)F)C=C2C)C1=CC=CC(I)=C1C(NC(C)(C)CS(C)(=O)=O)=O",15.000000000000000
"CS/C(C)=N/OC(N(SN(C(O/N=C(SC)\C)=O)C)C)=O",15.000000000000000
"ClC1=CC=C(OC(N2N=CN=C2)C(O)C(C)(C)C)C=C1",15.000000000000000
"NC#N",15.409999847412100
"O=P(SCCC)(OCC)SCCC",15.699999809265100
"CN(/C=N/C(C=CC(C)=C2)=C2C)/C=N/C(C=CC(C)=C1)=C1C",16.000000000000000
"ClC1=CC=C(C(C(C)C)C(OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)=O)C=C1",16.700000762939500
"CN1N=C(C(Cl)=C1C(NCC2=CC=C(C=C2)C(C)(C)C)=O)CC",16.799999237060500
"CC(C(=O)OCC1CCCO1)OC2=CC=C(C=C2)OC3=CN=C4C=C(C=CC4=N3)Cl",16.899999618530300
"CC1=CC=C(C)C=C1OCC2=CC=CC=C2/C(C(NC)=O)=N/OC",17.000000000000000
"ClC1=CC=C(CN(C)/C(C)=N/C#N)C=N1",17.100000381469700
"CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC3=C2C4CCC3C4=C(Cl)Cl",17.500000000000000
"CCC(NC1=C([N+]([O-])=O)C=C(C(C)(C)C)C=C1[N+]([O-])=O)C",18.000000000000000
"CC1(C)C(/C=C(Br)/Br)C1C(OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)=O",18.000000000000000
"C[Si](C2=CC=C(C=C2)F)(C3=CC=C(F)C=C3)CN1C=NC=N1",18.000000000000000
"CCCCCCCCSC(OC1=C(C2=CC=CC=C2)N=NC(Cl)=C1)=O",18.000000000000000
"O=C(C(CCCC4)=C4C3=O)N3C(C(F)=C2)=CC1=C2OCC(N1CC#C)=O",18.899999618530300
"C[Si](C2=CC=C(C=C2)F)(C3=CC=C(F)C=C3)CN1C=NC=N1",19.600000381469700
"O=C1C(C2=CC=CC=C2)=NN=C(C)N1N",19.799999237060500
"ClC1=CC(Cl)=C(OCC(O)=O)C=C1",20.000000000000000
"FC(F)(F)C(C=C3S(C)(=O)=O)=CC=C3C(C1=C(C2CC2)ON=C1)=O",20.000000000000000
"O=C(OC(C)C)NC1=CC=CC=C1",20.000000000000000
"O=C(N(CC)CC)SCC1=CC=C(Cl)C=C1",20.000000000000000
"O=C(NC(NC2=CC(Cl)=C(OC(F)(F)C(F)C(F)(F)F)C=C2Cl)=O)C1=C(F)C=CC=C1F",20.899999618530300
"N#C/N=C1SCCN/1CC2=CC=C(Cl)N=C2",20.899999618530300
"FC(F)(F)C1=CC(OC2=CC=CC(C(NC3=CC=C(F)C=C3)=O)=N2)=CC=C1",21.000000000000000
"CC(C)(C)C1CCC2(OC(CN(CCC)CC)CO2)CC1",21.000000000000000
"O=C(NC)OC1=C(C=CC=C2)C2=CC=C1",21.040000915527300
