InChI,nAtomP,nB,nAtomLC,naAromAtom,nAromBond,ALogP,nRotB,MLogP,XLogP,LipinskiFailures,ALogp2,AMR,nAtomLAC,nHBDon,nAtom
"InChI=1S/C12H11N3/c1-7-12-8-4-2-3-5-9(8)15-10(12)6-11(13)14-7/h2-6,15H,1H3,(H2,13,14)",7.0,17.0,0.0,6.0,10.0,-0.4408999979496,0.0,2.45000004768372,2.57299995422363,0.0,0.194392815232277,22.5443992614746,0.0,,27.0
"InChI=1S/C12H11N3/c1-7-6-9-8-4-2-3-5-10(8)14-12(9)15-11(7)13/h2-6H,1H3,(H3,13,14,15)",7.0,17.0,0.0,6.0,10.0,0.139400005340576,0.0,2.45000004768372,2.93600010871887,0.0,0.0194323603063822,22.807300567627,0.0,,27.0
"InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19)",6.0,21.0,0.0,6.0,6.0,-2.05949997901917,1.0,2.00999999046326,1.93400001525879,1.0,4.24154043197632,40.4961013793945,0.0,7.0,36.0
"InChI=1S/C12H12N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10,13-14H",14.0,15.0,2.0,12.0,12.0,-0.840799987316132,3.0,2.55999994277954,5.67000007629395,1.0,0.706944644451141,6.59999990463257,0.0,2.0,26.0
"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",14.0,15.0,0.0,12.0,12.0,-1.49979996681213,1.0,2.55999994277954,3.12199997901917,0.0,2.24940013885498,8.44419956207275,0.0,2.0,26.0
"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",15.0,16.0,0.0,12.0,12.0,-1.65390002727509,2.0,2.45000004768372,2.62400007247925,0.0,2.73538517951965,10.0633001327515,0.0,2.0,27.0
"InChI=1S/C12H12N2O2/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6,15-16H,13-14H2",16.0,17.0,0.0,12.0,12.0,-2.4203999042511,1.0,2.33999991416931,1.63199996948242,0.0,5.85833597183228,13.5733995437622,0.0,,28.0
"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",8.0,18.0,2.0,6.0,6.0,-1.12360000610352,2.0,2.23000001907349,3.76099991798401,0.0,1.26247692108154,34.4664001464844,2.0,2.0,29.0
"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",7.0,16.0,0.0,12.0,12.0,-0.909200012683868,2.0,2.45000004768372,2.95499992370605,0.0,0.826644659042358,16.237699508667,0.0,2.0,27.0
"InChI=1S/C12H12N4/c1-7-6-9-8(4-3-5-14-9)10-11(7)16(2)12(13)15-10/h3-6H,1-2H3,(H2,13,15)",14.0,18.0,0.0,10.0,11.0,0.274800002574921,0.0,2.33999991416931,2.96399998664856,0.0,0.0755150392651558,22.3985004425049,0.0,2.0,28.0
