SMILES,LOAEL parental as dose (mmol/kg bw per day)
CCOP(OCC)(SCN1C(OC2=C1C=CC(Cl)=C2)=O)=S,0.0761265588816095
CC1=C(N2C(S3)=NN=C2)C3=CC=C1,0.1516616929890738
O=C(OC(C#N)C2=CC(OC3=CC=CC=C3)=C(F)C=C2)C1C(/C=C(Cl)/Cl)C(C)1C,0.06677602276574221
OC(C(C(C)C)CC2)(CN3N=CN=C3)C2CC1=CC=C(Cl)C=C1,0.08686388602787204
CC(C)(C2=CC=C(C=C2)OC1CCCCC1OS(OCC#C)=O)C,0.08274547429334937
ClC1=CC=C(OC(N2N=CN=C2)C(O)C(C)(C)C)C=C1,0.09805094334812596
C1(NC2=CC=CC=C2)=CC=CC=C1,0.17728145274350138
O=C(NC3=CC=C(OC(F)(F)F)C=C3)N/N=C(C2=CC=C(C(F)(F)F)C=C2)/CC1=CC=C(C#N)C=C1,0.0592417225391808
C2(C3=CSC=N3)=NC1=CC=CC=C1N2,0.1490700414533971
O=C(SC/C(Cl)=C(Cl)\Cl)N(C(C)C)C(C)C,0.10089799137869722
O=C2C(N)=C(Cl)C(C1=CC=CC=C12)=O,0.14883450834822065
O=C(NC(NCC)=O)/C(C#N)=N\OC,0.15945156926818138
ClC(C(SCC(O)=O)=C3)=CC(F)=C3\N=C2/SC(N1CCCCN12)=O,0.08156926348252874
OC1(CN3C=NC=N3)C(C)(C)CCC1CC2=CC=C(Cl)C=C2,0.10005344104419774
O=C(NC(NCC)=O)/C(C#N)=N\OC,0.16197452748153363
CN/C(NCC1=CN=C(Cl)S1)=N\[N+]([O-])=O,0.1309686802344055
O=P(SC)(OC)NC(C)=O,0.180164578704787
O=C(C2C(/C=C(Cl)/Cl)C(C)2C)OCC1=CC(OC3=CC=CC=C3)=CC=C1,0.08433692140080049
CON(C(OC)=O)C(C=CC=C3)=C3COC2=NN(C=C2)C1=CC=C(Cl)C=C1,0.08509169739164553
CS(NC1=C(Cl)C=C(Cl)C(N2C(N(C(F)F)C(C)=N2)=O)=C1)(=O)=O,0.08522949371278812
CC(C)C1=NN(C(=O)N1N)C(=O)NC(C)(C)C,0.14049475339516085
NC1=C(C(OC2=CC=CC=C2)=CC=C1[N+]([O-])=O)Cl,0.1322429161814926
O=P(OCC)(SCCC)OC1=C(Cl)C=C(Br)C=C1,0.09367537083938164
CCCC1COC(C2=CC=C(Cl)C=C2Cl)(CN3N=CN=C3)O1,0.10227327782173581
CCNC1=NC(NC(C)C)=NC(Cl)=N1,0.16737505949289297
O=C1C(C2=CC=CC=C2)=NN=C(C)N1N,0.18000857278863383
CCOC(C(OC3=CC=C(C=C3)OC2=NC1=CC=C(Cl)C=C1N=C2)C)=O,0.10139422762398476
O=C1C(/C(CCC)=N\OCC)=C(O)CC(C2CSCCC2)C1,0.11675560268658329
CC(OC(C(C1=CC=C(Br)C=C1)(C2=CC=C(Br)C=C2)O)=O)C,0.09343280875327138
ClC1=C(C2=NN=C(C3=C(Cl)C=CC=C3)N=N2)C=CC=C1,0.13194956940237268
O=S(C(C)=C(C)S(CC1)(=O)=O)1=O,0.19023052134576682
O=C(OCC)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1,0.1327417211809261
O=C(O)COC(C=CC(Cl)=C1)=C1C,0.19938294964743114
O=[N+]([O-])C1=CC(C(F)(F)F)=CC([N+]([O-])=O)=C1N(CCC)CCC,0.1213914223478607
CC(C(O)=O)OC(C=CC(Cl)=C1)=C1Cl,0.17867472869731404
CC(CC2=CC=C(C(C)(C)C)C=C2)CN1CCCCC1,0.15358952993339262
O=C(CC)NC1=CC(Cl)=C(Cl)C=C1,0.1971754750759653
CC(C(OCC#C)=O)OC1=CC=C(OC2=C(F)C=C(Cl)C=N2)C=C1,0.1258074479267247
CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)O,0.09197266931797396
O=S(C1=C(C)C=CC=C1C(OC)=O)(NC(NC2=NC(OCC(F)(F)F)=NC(N(C)C)=N2)=O)=O,0.08935287943817022
O=C(C(O3)(C)C(C=C2)=CC=C2OC1=CC=CC=C1)N(NC4=CC=CC=C4)C3=O,0.11939443348154136
O=C(C(C(Cl)=C(Cl)C(C(OC)=O)=C1Cl)=C1Cl)OC,0.13555676960867832
CC1=CC(C)=CC(C)=C1C2=C(OC(CC(C)(C)C)=O)C3(CCCC3)OC2=O,0.12551220450985595
O=[N+]([O-])C1=CC(C(F)(F)F)=CC([N+]([O-])=O)=C1N(CCC)CCC,0.14018173816705817
CCN(CCCC)C1=C([N+]([O-])=O)C=C(C(F)(F)F)C=C1[N+]([O-])=O,0.14912950868835975
N#CC1=CC(F)=C(OC2=CC=C(OC(C)C(OCCCC)=O)C=C2)C=C1,0.13990886336640312
CC2(C)C=C(C)C1=CC(OCC)=CC=C1N2,0.2300894827201878
CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,0.13113054990382886
ClC2=CC=C(C=N2)CN1CCN/C1=N\[N+]([O-])=O,0.1955714794200132
CCC1=C(C2=C(OC(C(C)(C)C)=O)N(CCOCC3)N3C2=O)C(CC)=CC(C)=C1,0.12484046013397178
CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,0.21766590408142725
O=C(NS(N(C(C)C)C)(=O)=O)C1=CC(N2C(C=C(C(F)(F)F)N(C)C2=O)=O)=C(F)C=C1Cl,0.09982983206485889
CCC1=C(C(NC(C2=CC=CS2)C#N)=O)SC(NCC)=N1,0.16415285538008534
CCN(CCCC)C1=C([N+]([O-])=O)C=C(C(F)(F)F)C=C1[N+]([O-])=O,0.15807727920966133
CC1CCC2(CC3CC(O2)CC=C(CC(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)C)OC1C,0.1008177268001866
O=C(C2=CN(C)N=C2C(F)(F)F)NC1=C(C(C)CC(C)C)SC=C1,0.15024635811870524
CO\N=C(C(OC)=O)/C1=C(CO/N=C(C)/C2=CC=CC(C(F)(F)F)=C2)C=CC=C1,0.1354160549058005
O=C2C(CCCCCCCCCCCC)=C(OC(C)=O)C(C1=CC=CC=C12)=O,0.1456404810629924
FC(F)(F)C1=CC([N+]([O-])=O)=C(N(CC(C)=C)CC)C([N+]([O-])=O)=C1,0.17043587275803834
O=C(CC3=CC=CC=C3)N/C(C2=C(F)C(F)=CC=C2C(F)(F)F)=N\OCC1CC1,0.13823101166669738
CCCN(C(N2C=CN=C2)=O)CCOC1=C(Cl)C=C(Cl)C=C1Cl,0.15132792644846843
O=C(NCC#N)C1=CN=CC=C1C(F)(F)F,0.25179062960503346
C12=NC=NC1=C(NCC3=CC=CC=C3)NC=N2,0.25749254470292554
O=C/1CC(C(O)=O)CC(C1=C(C2CC2)\O)=O,0.2631461810932769
ClC(C=C2)=CC=C2CCC(C#N)(CN3C=NC=N3)C1=CC=CC=C1,0.17635633314541457
O=C(N(COCC)C1=C(CC)C=CC=C1C)CCl,0.22612097620503016
O=[N+]([O-])C1=CC(C(F)(F)F)=CC([N+]([O-])=O)=C1N(CCC)CCC,0.187008406170739
O=C1N(NC3=CC=CC=C3)C(SC)=NC(C)1C2=CC=CC=C2,0.20488027136251127
O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C,0.2751124321022517
NC1=NC(N)=NC(NC2CC2)=N1,0.3911331910812005
CC1OC(C)OC(C)OC(C)O1,0.3688775408285012
CN(C(NC1=CC(Cl)=C(C)C=C1)=O)C,0.3079801850721111
O=C(N1C(C)C)N(C2=CC=CC=C2)CS/C1=N\C(C)(C)C,0.2160829066896387
CC(COC2=CC=C(OC3=CC=CC=C3)C=C2)OC1=CC=CC=N1,0.20754907664069638
O=C(N2CCOCC2)/C=C(C3=CC=C(Cl)C=C3)/C1=CC=C(OC)C(OC)=C1,0.17274422088076452
FC(F)(F)C1=CC=C(OCCCOC2=C(Cl)C=C(OC/C=C(Cl)\Cl)C=C2Cl)N=C1,0.139885516117087
S=C1S[Mn+2]SC(NCCN1)=S,0.2638503630712921
CN(C)S(N(SC(F)(Cl)Cl)C1=CC=C(C)C=C1)(=O)=O,0.20157991425481578
CC1C(CC(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)N=C(C(=O)O)N,0.1853106471947918
CC(NC(N1CC(N(C2=CC(Cl)=CC(Cl)=C2)C1=O)=O)=O)C,0.21504293801717447
CC(C)(C(CCC1=CC=C(Cl)C=C1)(CN2C=NC=N2)O)C,0.2348787718646229
CC(C)C(C2=CN=CN=C2)(O)C1=CC=C(OC(F)(F)F)C=C1,0.23696150537929836
CN(C)C(C(C=CC=C2)=C2NS(NC(NC1=NC(OC)=CC(OC)=N1)=O)(=O)=O)=O,0.17552887202555134
C/C=C/C(OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1C(C)CCCCCC)=O,0.20582175901532235
C[C@H]([C@@H](N(C)C)CC5)O[C@H]5O[C@@H]2[C@@H](C)C(C1=C[C@]3([H])[C@](CC[C@@]4([H])[C@]([H])3C[C@H](O[C@@H]6O[C@@H](C)[C@H](OC)[C@@H](OCC)[C@H]6OC)C4)([H])[C@@]([H])1CC(O[C@@H](CC)CCC2)=O)=O,0.10026765313638021
COC1=NC(NC(NS(C2=C(C3=NN(C)N=N3)C=NN2C)(=O)=O)=O)=NC(OC)=C1,0.1804921669793888
FC(F)(F)C1=CC=CC(OCC2=C(/C(C(OC)=O)=C\OC)C=CC=C2)=N1,0.2123493969753551
O=C(N(C2=C(C)C=CC=C2C)CN1N=CC=C1)CCl,0.2844291187154576
